Silence,Classical,Pop
90,78,74
63,59,53
67,89,74
59,73,53
65,59,47
80,83,83
62,68,57
80,80,76
85,67,67
72,65,90
54,58,67
51,61,56
48,49,59
44,51,53
66,62,52
56,78,67
83,79,74
46,60,57
59,54,57
61,49,65
95,101,84
